target_pool_id,target_cif_id,target_source,target_density,target_metal_fraction,space,rank,neighbour_pool_id,neighbour_cif_id,neighbour_source,neighbour_density,neighbour_metal_fraction,delta_density
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,proxy_kNN (baseline),4,qmof__SANHIY_FSR,SANHIY_FSR,qmof,0.0516643177800619,0.0344827586206896,0.002606504519365095
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,proxy_kNN (baseline),5,qmof__AHAVOV_FSR,AHAVOV_FSR,qmof,0.0553921812080492,0.0333333333333333,0.006334367947352398
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,random_kNN (baseline),1,coremof__SINXET_charged,SINXET_charged,coremof,0.1435147785972692,0.0476190476190476,0.09445696533657238
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,random_kNN (baseline),2,qmof__GOGCUB_FSR,GOGCUB_FSR,qmof,0.0322170034496938,0.0344827586206896,-0.016840809811003006
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,random_kNN (baseline),3,qmof__HOKKOJ_FSR,HOKKOJ_FSR,qmof,0.0550895897649101,0.0277777777777777,0.006031776504213299
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,random_kNN (baseline),4,qmof__core_WENLAE_manual,core_WENLAE_manual,qmof,0.1002336130063841,0.0192307692307692,0.0511757997456873
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,random_kNN (baseline),5,coremof__ROLCEC14_clean,ROLCEC14_clean,coremof,0.0349441488224537,0.0769230769230769,-0.014113664438243106
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (cls),1,qmof__VOKNEO_FSR,VOKNEO_FSR,qmof,0.0264698325171522,0.027027027027027,-0.0225879807435446
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (cls),2,qmof__DICJUW_FSR,DICJUW_FSR,qmof,0.0599770156956739,0.0384615384615384,0.010919202434977099
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (cls),3,qmof__AVUJOR_FSR,AVUJOR_FSR,qmof,0.0745661225126116,0.0434782608695652,0.0255083092519148
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (cls),4,qmof__IFEZOJ_FSR,IFEZOJ_FSR,qmof,0.0430895011990351,0.0232558139534883,-0.0059683120616617
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (cls),5,qmof__YOQJEV_FSR,YOQJEV_FSR,qmof,0.0435161342701049,0.0144927536231884,-0.0055416789905919014
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (raw_cls),1,qmof__IFEZOJ_FSR,IFEZOJ_FSR,qmof,0.0430895011990351,0.0232558139534883,-0.0059683120616617
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (raw_cls),2,qmof__CEJJEJ_FSR,CEJJEJ_FSR,qmof,0.0408661774026863,0.0384615384615384,-0.008191635858010506
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (raw_cls),3,qmof__DICJUW_FSR,DICJUW_FSR,qmof,0.0599770156956739,0.0384615384615384,0.010919202434977099
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (raw_cls),4,qmof__KEKHAL_FSR,KEKHAL_FSR,qmof,0.0507375098703027,0.0192307692307692,0.001679696609605895
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (raw_cls),5,qmof__VOKNEO_FSR,VOKNEO_FSR,qmof,0.0264698325171522,0.027027027027027,-0.0225879807435446
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (concat),1,qmof__IFEZOJ_FSR,IFEZOJ_FSR,qmof,0.0430895011990351,0.0232558139534883,-0.0059683120616617
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (concat),2,qmof__DIXKUR_FSR,DIXKUR_FSR,qmof,0.0652347679405699,0.027027027027027,0.016176954679873096
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (concat),3,qmof__YIMSAQ_FSR,YIMSAQ_FSR,qmof,0.0237125424960953,0.0476190476190476,-0.025345270764601503
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (concat),4,qmof__XEMLEI_FSR,XEMLEI_FSR,qmof,0.0385672169873358,0.0357142857142857,-0.010490596273361005
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,latent (concat),5,qmof__IFAWUK_FSR,IFAWUK_FSR,qmof,0.0478854415216164,0.0333333333333333,-0.0011723717390804064
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,proxy_kNN (baseline),1,qmof__LUJLIL_FSR,LUJLIL_FSR,qmof,0.0519342164600827,0.0285714285714285,0.004352446194249002
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,proxy_kNN (baseline),2,coremof__DEJRUH_clean,DEJRUH_clean,coremof,0.0429347828592202,0.0294117647058823,-0.004646987406613498
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,proxy_kNN (baseline),3,qmof__boydwoo_str_m7_Zn_o25_o25_bcu_sym_35,boydwoo_str_m7_Zn_o25_o25_bcu_sym_35,qmof,0.0507811937419941,0.0303030303030303,0.0031994234761604026
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,proxy_kNN (baseline),4,qmof__SARTEN_FSR,SARTEN_FSR,qmof,0.0426377951606717,0.0303030303030303,-0.004943975105162
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,proxy_kNN (baseline),5,qmof__boydwoo_str_m7_Zn_o8_o25_bcu_sym_151,boydwoo_str_m7_Zn_o8_o25_bcu_sym_151,qmof,0.0445315917543115,0.0279720279720279,-0.0030501785115222
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,random_kNN (baseline),1,qmof__LETNEG_FSR,LETNEG_FSR,qmof,0.0582797899492862,0.0147058823529411,0.010698019683452499
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,random_kNN (baseline),2,qmof__OHIZIO01_FSR,OHIZIO01_FSR,qmof,0.042946138538945,0.0666666666666666,-0.004635631726888696
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,random_kNN (baseline),3,coremof__FIPKOG_clean,FIPKOG_clean,coremof,0.0603299325728688,0.0204081632653061,0.012748162307035099
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,random_kNN (baseline),4,qmof__CAXXUW_FSR,CAXXUW_FSR,qmof,0.0330184675756858,0.0454545454545454,-0.014563302690147897
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,random_kNN (baseline),5,hmof__ecu+N715+E178,ecu+N715+E178,hmof,0.097567682441917,0.0136986301369863,0.04998591217608331
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,latent (cls),1,qmof__BEXBOW_FSR,BEXBOW_FSR,qmof,0.0513869315343845,0.0144927536231884,0.003805161268550801
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,latent (cls),2,qmof__DECCOE_FSR,DECCOE_FSR,qmof,0.0243373475798773,0.0136986301369863,-0.023244422685956397
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,latent (cls),3,qmof__QUTHET_FSR,QUTHET_FSR,qmof,0.0287375486834971,0.0222222222222222,-0.018844221582336597
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,latent (cls),4,qmof__IZABIU_FSR,IZABIU_FSR,qmof,0.036375387284695,0.032258064516129,-0.011206382981138699
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,latent (cls),5,qmof__OHAPOD01_FSR,OHAPOD01_FSR,qmof,0.0237805838375895,0.0140845070422535,-0.0238011864282442
qmof__ACISEM_FSR,ACISEM_FSR,qmof,0.0475817702658337,0.0285714285714285,latent (raw_cls),1,qmof__QUTHET_FSR,QUTHET_FSR,qmof,0.0287375486834971,0.0222222222222222,-0.018844221582336597
